"TIME","GEO","INTRT","Value","Flag and Footnotes"
"2013M12","Belgium","EMU convergence criterion bond yields","2.43",""
"2014M01","Belgium","EMU convergence criterion bond yields","2.45",""
"2014M02","Belgium","EMU convergence criterion bond yields","2.40",""
"2014M03","Belgium","EMU convergence criterion bond yields","2.26",""
"2014M04","Belgium","EMU convergence criterion bond yields","2.16",""
"2014M05","Belgium","EMU convergence criterion bond yields","1.99",""
"2014M06","Belgium","EMU convergence criterion bond yields","1.83",""
"2014M07","Belgium","EMU convergence criterion bond yields","1.61",""
"2014M08","Belgium","EMU convergence criterion bond yields","1.40",""
"2014M09","Belgium","EMU convergence criterion bond yields","1.30",""
"2014M10","Belgium","EMU convergence criterion bond yields","1.18",""
"2014M11","Belgium","EMU convergence criterion bond yields","1.07",""
"2014M12","Belgium","EMU convergence criterion bond yields","0.91",""
"2015M01","Belgium","EMU convergence criterion bond yields","0.73",""
"2015M02","Belgium","EMU convergence criterion bond yields","0.63",""
"2015M03","Belgium","EMU convergence criterion bond yields","0.49",""
"2015M04","Belgium","EMU convergence criterion bond yields","0.42",""
"2015M05","Belgium","EMU convergence criterion bond yields","0.86",""
"2015M06","Belgium","EMU convergence criterion bond yields","1.21",""
"2015M07","Belgium","EMU convergence criterion bond yields","1.15",""
"2015M08","Belgium","EMU convergence criterion bond yields","1.00",""
"2015M09","Belgium","EMU convergence criterion bond yields","1.01",""
"2015M10","Belgium","EMU convergence criterion bond yields","0.85",""
"2015M11","Belgium","EMU convergence criterion bond yields","0.84",""
"2015M12","Belgium","EMU convergence criterion bond yields","0.89",""
"2016M01","Belgium","EMU convergence criterion bond yields","0.86",""
"2016M02","Belgium","EMU convergence criterion bond yields","0.72",""
"2016M03","Belgium","EMU convergence criterion bond yields","0.62",""
"2016M04","Belgium","EMU convergence criterion bond yields","0.55",""
"2016M05","Belgium","EMU convergence criterion bond yields","0.55",""
"2016M06","Belgium","EMU convergence criterion bond yields","0.43",""
"2016M07","Belgium","EMU convergence criterion bond yields","0.20",""
"2016M08","Belgium","EMU convergence criterion bond yields","0.15",""
"2016M09","Belgium","EMU convergence criterion bond yields","0.18",""
"2016M10","Belgium","EMU convergence criterion bond yields",":",""
"2000M01","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M02","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M03","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M04","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M05","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M06","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M07","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M08","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M09","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M10","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M11","Bulgaria","EMU convergence criterion bond yields",":",""
"2000M12","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M01","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M02","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M03","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M04","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M05","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M06","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M07","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M08","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M09","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M10","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M11","Bulgaria","EMU convergence criterion bond yields",":",""
"2001M12","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M01","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M02","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M03","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M04","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M05","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M06","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M07","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M08","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M09","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M10","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M11","Bulgaria","EMU convergence criterion bond yields",":",""
"2002M12","Bulgaria","EMU convergence criterion bond yields",":",""
"2003M01","Bulgaria","EMU convergence criterion bond yields","7.20",""
"2003M02","Bulgaria","EMU convergence criterion bond yields","6.93",""
"2003M03","Bulgaria","EMU convergence criterion bond yields","6.93",""
"2003M04","Bulgaria","EMU convergence criterion bond yields","6.79",""
"2003M05","Bulgaria","EMU convergence criterion bond yields","6.78",""
"2003M06","Bulgaria","EMU convergence criterion bond yields","6.78",""
"2003M07","Bulgaria","EMU convergence criterion bond yields","5.95",""
"2003M08","Bulgaria","EMU convergence criterion bond yields","5.91",""
"2003M09","Bulgaria","EMU convergence criterion bond yields","5.91",""
"2003M10","Bulgaria","EMU convergence criterion bond yields","6.06",""
"2003M11","Bulgaria","EMU convergence criterion bond yields","6.06",""
"2003M12","Bulgaria","EMU convergence criterion bond yields","6.06",""
"2004M01","Bulgaria","EMU convergence criterion bond yields","6.06",""
"2004M02","Bulgaria","EMU convergence criterion bond yields","5.54",""
"2004M03","Bulgaria","EMU convergence criterion bond yields","5.48",""
"2004M04","Bulgaria","EMU convergence criterion bond yields","5.36",""
"2004M05","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2004M06","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2004M07","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2004M08","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2004M09","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2004M10","Bulgaria","EMU convergence criterion bond yields","5.24",""
"2004M11","Bulgaria","EMU convergence criterion bond yields","5.13",""
"2004M12","Bulgaria","EMU convergence criterion bond yields","5.01",""
"2005M01","Bulgaria","EMU convergence criterion bond yields","4.48",""
"2005M02","Bulgaria","EMU convergence criterion bond yields","4.21",""
"2005M03","Bulgaria","EMU convergence criterion bond yields","4.17",""
"2005M04","Bulgaria","EMU convergence criterion bond yields","4.16",""
"2005M05","Bulgaria","EMU convergence criterion bond yields","4.16",""
"2005M06","Bulgaria","EMU convergence criterion bond yields","3.90",""
"2005M07","Bulgaria","EMU convergence criterion bond yields","3.68",""
"2005M08","Bulgaria","EMU convergence criterion bond yields","3.66",""
"2005M09","Bulgaria","EMU convergence criterion bond yields","3.60",""
"2005M10","Bulgaria","EMU convergence criterion bond yields","3.49",""
"2005M11","Bulgaria","EMU convergence criterion bond yields","3.49",""
"2005M12","Bulgaria","EMU convergence criterion bond yields","3.49",""
"2006M01","Bulgaria","EMU convergence criterion bond yields","3.66",""
"2006M02","Bulgaria","EMU convergence criterion bond yields","3.68",""
"2006M03","Bulgaria","EMU convergence criterion bond yields","3.90",""
"2006M04","Bulgaria","EMU convergence criterion bond yields","3.96",""
"2006M05","Bulgaria","EMU convergence criterion bond yields","4.34",""
"2006M06","Bulgaria","EMU convergence criterion bond yields","4.35",""
"2006M07","Bulgaria","EMU convergence criterion bond yields","4.43",""
"2006M08","Bulgaria","EMU convergence criterion bond yields","4.66",""
"2006M09","Bulgaria","EMU convergence criterion bond yields","4.40",""
"2006M10","Bulgaria","EMU convergence criterion bond yields","4.26",""
"2006M11","Bulgaria","EMU convergence criterion bond yields","4.38",""
"2006M12","Bulgaria","EMU convergence criterion bond yields","4.18",""
"2007M01","Bulgaria","EMU convergence criterion bond yields","4.27",""
"2007M02","Bulgaria","EMU convergence criterion bond yields","4.24",""
"2007M03","Bulgaria","EMU convergence criterion bond yields","4.22",""
"2007M04","Bulgaria","EMU convergence criterion bond yields","4.28",""
"2007M05","Bulgaria","EMU convergence criterion bond yields","4.26",""
"2007M06","Bulgaria","EMU convergence criterion bond yields","4.57",""
"2007M07","Bulgaria","EMU convergence criterion bond yields","4.79",""
"2007M08","Bulgaria","EMU convergence criterion bond yields","4.79",""
"2007M09","Bulgaria","EMU convergence criterion bond yields","4.44",""
"2007M10","Bulgaria","EMU convergence criterion bond yields","4.59",""
"2007M11","Bulgaria","EMU convergence criterion bond yields","4.94",""
"2007M12","Bulgaria","EMU convergence criterion bond yields","5.08",""
"2008M01","Bulgaria","EMU convergence criterion bond yields","5.07",""
"2008M02","Bulgaria","EMU convergence criterion bond yields","5.24",""
"2008M03","Bulgaria","EMU convergence criterion bond yields","4.85",""
"2008M04","Bulgaria","EMU convergence criterion bond yields","4.80",""
"2008M05","Bulgaria","EMU convergence criterion bond yields","4.95",""
"2008M06","Bulgaria","EMU convergence criterion bond yields","5.17",""
"2008M07","Bulgaria","EMU convergence criterion bond yields","5.17",""
"2008M08","Bulgaria","EMU convergence criterion bond yields","5.17",""
"2008M09","Bulgaria","EMU convergence criterion bond yields","5.17",""
"2008M10","Bulgaria","EMU convergence criterion bond yields","5.17",""
"2008M11","Bulgaria","EMU convergence criterion bond yields","6.00",""
"2008M12","Bulgaria","EMU convergence criterion bond yields","7.76",""
"2009M01","Bulgaria","EMU convergence criterion bond yields","7.14",""
"2009M02","Bulgaria","EMU convergence criterion bond yields","7.09",""
"2009M03","Bulgaria","EMU convergence criterion bond yields","7.73",""
"2009M04","Bulgaria","EMU convergence criterion bond yields","7.24",""
"2009M05","Bulgaria","EMU convergence criterion bond yields","7.08",""
"2009M06","Bulgaria","EMU convergence criterion bond yields","7.30",""
"2009M07","Bulgaria","EMU convergence criterion bond yields","7.56",""
"2009M08","Bulgaria","EMU convergence criterion bond yields","7.77",""
"2009M09","Bulgaria","EMU convergence criterion bond yields","7.45",""
"2009M10","Bulgaria","EMU convergence criterion bond yields","7.08",""
"2009M11","Bulgaria","EMU convergence criterion bond yields","6.53",""
"2009M12","Bulgaria","EMU convergence criterion bond yields","6.61",""
"2010M01","Bulgaria","EMU convergence criterion bond yields","6.65",""
"2010M02","Bulgaria","EMU convergence criterion bond yields","6.05",""
"2010M03","Bulgaria","EMU convergence criterion bond yields","5.82",""
"2010M04","Bulgaria","EMU convergence criterion bond yields","5.94",""
"2010M05","Bulgaria","EMU convergence criterion bond yields","6.13",""
"2010M06","Bulgaria","EMU convergence criterion bond yields","6.21",""
"2010M07","Bulgaria","EMU convergence criterion bond yields","6.05",""
"2010M08","Bulgaria","EMU convergence criterion bond yields","5.99",""
"2010M09","Bulgaria","EMU convergence criterion bond yields","5.90",""
"2010M10","Bulgaria","EMU convergence criterion bond yields","5.82",""
"2010M11","Bulgaria","EMU convergence criterion bond yields","5.74",""
"2010M12","Bulgaria","EMU convergence criterion bond yields","5.76",""
"2011M01","Bulgaria","EMU convergence criterion bond yields","5.56",""
"2011M02","Bulgaria","EMU convergence criterion bond yields","5.48",""
"2011M03","Bulgaria","EMU convergence criterion bond yields","5.38",""
"2011M04","Bulgaria","EMU convergence criterion bond yields","5.33",""
"2011M05","Bulgaria","EMU convergence criterion bond yields","5.39",""
"2011M06","Bulgaria","EMU convergence criterion bond yields","5.39",""
"2011M07","Bulgaria","EMU convergence criterion bond yields","5.36",""
"2011M08","Bulgaria","EMU convergence criterion bond yields","5.32",""
"2011M09","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2011M10","Bulgaria","EMU convergence criterion bond yields","5.27",""
"2011M11","Bulgaria","EMU convergence criterion bond yields","5.27",""
"2011M12","Bulgaria","EMU convergence criterion bond yields","5.23",""
"2012M01","Bulgaria","EMU convergence criterion bond yields","5.30",""
"2012M02","Bulgaria","EMU convergence criterion bond yields","5.31",""
"2012M03","Bulgaria","EMU convergence criterion bond yields","5.07",""
"2012M04","Bulgaria","EMU convergence criterion bond yields","5.11",""
"2012M05","Bulgaria","EMU convergence criterion bond yields","5.11",""
"2012M06","Bulgaria","EMU convergence criterion bond yields","5.07",""
"2012M07","Bulgaria","EMU convergence criterion bond yields","4.87",""
"2012M08","Bulgaria","EMU convergence criterion bond yields","4.28",""
"2012M09","Bulgaria","EMU convergence criterion bond yields","3.80",""
"2012M10","Bulgaria","EMU convergence criterion bond yields","3.39",""
"2012M11","Bulgaria","EMU convergence criterion bond yields","3.22",""
"2012M12","Bulgaria","EMU convergence criterion bond yields","3.44",""
"2013M01","Bulgaria","EMU convergence criterion bond yields","3.27",""
"2013M02","Bulgaria","EMU convergence criterion bond yields","3.25",""
"2013M03","Bulgaria","EMU convergence criterion bond yields","3.54",""
"2013M04","Bulgaria","EMU convergence criterion bond yields","3.47",""
"2013M05","Bulgaria","EMU convergence criterion bond yields","3.36",""
"2013M06","Bulgaria","EMU convergence criterion bond yields","3.40",""
