"TIME","GEO","UNIT","INDIC_EN","Value"
"2007","Czech Republic","Percentage","Share of renewable energy in transport","1.0"
"2007","Czech Republic","Percentage","Share of renewable energy in electricity","4.6"
"2007","Czech Republic","Percentage","Share of renewable energy in heating and cooling","11.4"
"2007","Denmark","Percentage","Share of renewable energy in gross final energy consumption","17.8"
"2007","Denmark","Percentage","Share of renewable energy in transport","0.3"
"2007","Denmark","Percentage","Share of renewable energy in electricity","25.0"
"2007","Denmark","Percentage","Share of renewable energy in heating and cooling","26.9"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","9.1"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","7.6"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","13.6"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","8.4"
"2007","Estonia","Percentage","Share of renewable energy in gross final energy consumption","17.1"
"2007","Estonia","Percentage","Share of renewable energy in transport","0.1"
"2007","Estonia","Percentage","Share of renewable energy in electricity","1.5"
"2007","Estonia","Percentage","Share of renewable energy in heating and cooling","32.7"
"2007","Ireland","Percentage","Share of renewable energy in gross final energy consumption","3.6"
"2007","Ireland","Percentage","Share of renewable energy in transport","0.5"
"2007","Ireland","Percentage","Share of renewable energy in electricity","10.4"
"2007","Ireland","Percentage","Share of renewable energy in heating and cooling","3.9"
"2007","Greece","Percentage","Share of renewable energy in gross final energy consumption","8.2"
"2007","Greece","Percentage","Share of renewable energy in transport","1.2"
"2007","Greece","Percentage","Share of renewable energy in electricity","9.3"
"2007","Greece","Percentage","Share of renewable energy in heating and cooling","14.4"
"2007","Spain","Percentage","Share of renewable energy in gross final energy consumption","9.7"
"2007","Spain","Percentage","Share of renewable energy in transport","1.2"
"2007","Spain","Percentage","Share of renewable energy in electricity","21.7"
"2007","Spain","Percentage","Share of renewable energy in heating and cooling","11.3"
"2007","France","Percentage","Share of renewable energy in gross final energy consumption","10.2"
"2007","France","Percentage","Share of renewable energy in transport","3.6"
"2007","France","Percentage","Share of renewable energy in electricity","14.3"
"2007","France","Percentage","Share of renewable energy in heating and cooling","12.6"
"2007","Croatia","Percentage","Share of renewable energy in gross final energy consumption","22.2"
"2007","Croatia","Percentage","Share of renewable energy in transport","0.6"
"2007","Croatia","Percentage","Share of renewable energy in electricity","34.0"
"2007","Croatia","Percentage","Share of renewable energy in heating and cooling","29.2"
"2007","Italy","Percentage","Share of renewable energy in gross final energy consumption","9.8"
"2007","Italy","Percentage","Share of renewable energy in transport","0.8"
"2007","Italy","Percentage","Share of renewable energy in electricity","16.0"
"2007","Italy","Percentage","Share of renewable energy in heating and cooling","13.3"
"2007","Cyprus","Percentage","Share of renewable energy in gross final energy consumption","4.0"
"2007","Cyprus","Percentage","Share of renewable energy in transport","0.0"
"2007","Cyprus","Percentage","Share of renewable energy in electricity","0.1"
"2007","Cyprus","Percentage","Share of renewable energy in heating and cooling","13.1"
"2007","Latvia","Percentage","Share of renewable energy in gross final energy consumption","29.6"
"2007","Latvia","Percentage","Share of renewable energy in transport","0.9"
"2007","Latvia","Percentage","Share of renewable energy in electricity","38.6"
"2007","Latvia","Percentage","Share of renewable energy in heating and cooling","42.4"
"2007","Lithuania","Percentage","Share of renewable energy in gross final energy consumption","16.7"
"2007","Lithuania","Percentage","Share of renewable energy in transport","3.7"
"2007","Lithuania","Percentage","Share of renewable energy in electricity","4.7"
"2007","Lithuania","Percentage","Share of renewable energy in heating and cooling","29.8"
"2007","Luxembourg","Percentage","Share of renewable energy in gross final energy consumption","2.7"
"2007","Luxembourg","Percentage","Share of renewable energy in transport","2.1"
"2007","Luxembourg","Percentage","Share of renewable energy in electricity","3.3"
"2007","Luxembourg","Percentage","Share of renewable energy in heating and cooling","4.4"
"2007","Hungary","Percentage","Share of renewable energy in gross final energy consumption","5.9"
"2007","Hungary","Percentage","Share of renewable energy in transport","1.0"
"2007","Hungary","Percentage","Share of renewable energy in electricity","4.2"
"2007","Hungary","Percentage","Share of renewable energy in heating and cooling","8.9"
"2007","Malta","Percentage","Share of renewable energy in gross final energy consumption","0.2"
"2007","Malta","Percentage","Share of renewable energy in transport","0.0"
"2007","Malta","Percentage","Share of renewable energy in electricity","0.0"
"2007","Malta","Percentage","Share of renewable energy in heating and cooling","3.2"
"2007","Netherlands","Percentage","Share of renewable energy in gross final energy consumption","3.3"
"2007","Netherlands","Percentage","Share of renewable energy in transport","2.9"
"2007","Netherlands","Percentage","Share of renewable energy in electricity","6.0"
"2007","Netherlands","Percentage","Share of renewable energy in heating and cooling","3.0"
"2007","Austria","Percentage","Share of renewable energy in gross final energy consumption","27.3"
"2007","Austria","Percentage","Share of renewable energy in transport","6.3"
"2007","Austria","Percentage","Share of renewable energy in electricity","64.6"
"2007","Austria","Percentage","Share of renewable energy in heating and cooling","25.7"
"2007","Poland","Percentage","Share of renewable energy in gross final energy consumption","6.9"
"2007","Poland","Percentage","Share of renewable energy in transport","1.2"
"2007","Poland","Percentage","Share of renewable energy in electricity","3.5"
"2007","Poland","Percentage","Share of renewable energy in heating and cooling","10.4"
"2007","Portugal","Percentage","Share of renewable energy in gross final energy consumption","21.9"
"2007","Portugal","Percentage","Share of renewable energy in transport","2.2"
"2007","Portugal","Percentage","Share of renewable energy in electricity","32.3"
"2007","Portugal","Percentage","Share of renewable energy in heating and cooling","35.0"
"2007","Romania","Percentage","Share of renewable energy in gross final energy consumption","18.3"
"2007","Romania","Percentage","Share of renewable energy in transport","1.8"
"2007","Romania","Percentage","Share of renewable energy in electricity","28.1"
"2007","Romania","Percentage","Share of renewable energy in heating and cooling","19.4"
"2007","Slovenia","Percentage","Share of renewable energy in gross final energy consumption","15.6"
"2007","Slovenia","Percentage","Share of renewable energy in transport","1.1"
"2007","Slovenia","Percentage","Share of renewable energy in electricity","27.7"
"2007","Slovenia","Percentage","Share of renewable energy in heating and cooling","20.4"
"2007","Slovakia","Percentage","Share of renewable energy in gross final energy consumption","7.8"
"2007","Slovakia","Percentage","Share of renewable energy in transport","3.5"
"2007","Slovakia","Percentage","Share of renewable energy in electricity","16.5"
"2007","Slovakia","Percentage","Share of renewable energy in heating and cooling","6.2"
"2007","Finland","Percentage","Share of renewable energy in gross final energy consumption","29.6"
"2007","Finland","Percentage","Share of renewable energy in transport","0.4"
"2007","Finland","Percentage","Share of renewable energy in electricity","25.5"
"2007","Finland","Percentage","Share of renewable energy in heating and cooling","41.5"
"2007","Sweden","Percentage","Share of renewable energy in gross final energy consumption","44.2"
"2007","Sweden","Percentage","Share of renewable energy in transport","5.7"
"2007","Sweden","Percentage","Share of renewable energy in electricity","53.2"
"2007","Sweden","Percentage","Share of renewable energy in heating and cooling","58.7"
"2007","United Kingdom","Percentage","Share of renewable energy in gross final energy consumption","1.8"
"2007","United Kingdom","Percentage","Share of renewable energy in transport","1.0"
"2007","United Kingdom","Percentage","Share of renewable energy in electricity","4.8"
"2007","United Kingdom","Percentage","Share of renewable energy in heating and cooling","1.1"
"2007","Iceland","Percentage","Share of renewable energy in gross final energy consumption","71.5"
"2007","Iceland","Percentage","Share of renewable energy in transport","0.0"
"2007","Iceland","Percentage","Share of renewable energy in electricity","113.7"
"2007","Iceland","Percentage","Share of renewable energy in heating and cooling","58.6"
"2007","Norway","Percentage","Share of renewable energy in gross final energy consumption","60.2"
"2007","Norway","Percentage","Share of renewable energy in transport","1.9"
"2007","Norway","Percentage","Share of renewable energy in electricity","98.5"
"2007","Norway","Percentage","Share of renewable energy in heating and cooling","29.6"
"2008","European Union (28 countries)","Percentage","Share of renewable energy in gross final energy consumption","11.0"
"2008","European Union (28 countries)","Percentage","Share of renewable energy in transport","3.6"
"2008","European Union (28 countries)","Percentage","Share of renewable energy in electricity","17.0"
"2008","European Union (28 countries)","Percentage","Share of renewable energy in heating and cooling","13.1"
"2008","Belgium","Percentage","Share of renewable energy in gross final energy consumption","3.8"
"2008","Belgium","Percentage","Share of renewable energy in transport","1.3"
"2008","Belgium","Percentage","Share of renewable energy in electricity","4.6"
"2008","Belgium","Percentage","Share of renewable energy in heating and cooling","5.0"
"2008","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","10.5"
"2008","Bulgaria","Percentage","Share of renewable energy in transport","0.5"
"2008","Bulgaria","Percentage","Share of renewable energy in electricity","10.0"
"2008","Bulgaria","Percentage","Share of renewable energy in heating and cooling","17.3"
"2008","Czech Republic","Percentage","Share of renewable energy in gross final energy consumption","7.6"
"2008","Czech Republic","Percentage","Share of renewable energy in transport","2.3"
"2008","Czech Republic","Percentage","Share of renewable energy in electricity","5.2"
"2008","Czech Republic","Percentage","Share of renewable energy in heating and cooling","11.2"
"2008","Denmark","Percentage","Share of renewable energy in gross final energy consumption","18.6"
"2008","Denmark","Percentage","Share of renewable energy in transport","0.3"
"2008","Denmark","Percentage","Share of renewable energy in electricity","25.9"
"2008","Denmark","Percentage","Share of renewable energy in heating and cooling","28.1"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","8.6"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","6.1"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","15.1"
"2008","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","7.4"
"2008","Estonia","Percentage","Share of renewable energy in gross final energy consumption","18.9"
"2008","Estonia","Percentage","Share of renewable energy in transport","0.1"
"2008","Estonia","Percentage","Share of renewable energy in electricity","2.1"
"2008","Estonia","Percentage","Share of renewable energy in heating and cooling","35.5"
"2008","Ireland","Percentage","Share of renewable energy in gross final energy consumption","4.1"
