"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2006","Lithuania","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","8,432",""
"2006","Lithuania","Terajoule","Electrical energy","Energy Available for Final Consumption","30,355",""
"2006","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","567.9",""
"2006","Luxembourg","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,605",""
"2006","Luxembourg","Terajoule","Electrical energy","Energy Available for Final Consumption","23,778",""
"2006","Hungary","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,858.1",""
"2006","Hungary","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","33,240",""
"2006","Hungary","Terajoule","Electrical energy","Energy Available for Final Consumption","119,664",""
"2006","Malta","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","159.3",""
"2006","Malta","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","1,853",""
"2006","Malta","Terajoule","Electrical energy","Energy Available for Final Consumption","6,671",""
"2006","Netherlands","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","9,162.6",""
"2006","Netherlands","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","106,561",""
"2006","Netherlands","Terajoule","Electrical energy","Energy Available for Final Consumption","383,618",""
"2006","Austria","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","5,181.0",""
"2006","Austria","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","60,255",""
"2006","Austria","Terajoule","Electrical energy","Energy Available for Final Consumption","216,919",""
"2006","Poland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","9,548.7",""
"2006","Poland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","111,051",""
"2006","Poland","Terajoule","Electrical energy","Energy Available for Final Consumption","399,784",""
"2006","Portugal","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,106.9",""
"2006","Portugal","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","47,763",""
"2006","Portugal","Terajoule","Electrical energy","Energy Available for Final Consumption","171,946",""
"2006","Romania","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","3,522.4",""
"2006","Romania","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","40,965",""
"2006","Romania","Terajoule","Electrical energy","Energy Available for Final Consumption","147,474",""
"2006","Slovenia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","1,132.0",""
"2006","Slovenia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","13,165",""
"2006","Slovenia","Terajoule","Electrical energy","Energy Available for Final Consumption","47,395",""
"2006","Slovakia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,033.9",""
"2006","Slovakia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","23,654",""
"2006","Slovakia","Terajoule","Electrical energy","Energy Available for Final Consumption","85,154",""
"2006","Finland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","7,393.8",""
"2006","Finland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","85,989",""
"2006","Finland","Terajoule","Electrical energy","Energy Available for Final Consumption","309,562",""
"2006","Sweden","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","11,247.3",""
"2006","Sweden","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","130,806",""
"2006","Sweden","Terajoule","Electrical energy","Energy Available for Final Consumption","470,903",""
"2006","United Kingdom","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","29,700.1",""
"2006","United Kingdom","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","345,413",""
"2006","United Kingdom","Terajoule","Electrical energy","Energy Available for Final Consumption","1,243,486",""
"2006","Iceland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","773.8",""
"2006","Iceland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","8,999",""
"2006","Iceland","Terajoule","Electrical energy","Energy Available for Final Consumption","32,396",""
"2006","Norway","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","9,234.7",""
"2006","Norway","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","107,399",""
"2006","Norway","Terajoule","Electrical energy","Energy Available for Final Consumption","386,636",""
"2006","Montenegro","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","331.6",""
"2006","Montenegro","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","3,856",""
"2006","Montenegro","Terajoule","Electrical energy","Energy Available for Final Consumption","13,882",""
"2006","Former Yugoslav Republic of Macedonia, the","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","553.7",""
"2006","Former Yugoslav Republic of Macedonia, the","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,439",""
"2006","Former Yugoslav Republic of Macedonia, the","Terajoule","Electrical energy","Energy Available for Final Consumption","23,180",""
"2006","Albania","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","294.5",""
"2006","Albania","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","3,425",""
"2006","Albania","Terajoule","Electrical energy","Energy Available for Final Consumption","12,330",""
"2006","Serbia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,210.1",""
"2006","Serbia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","25,703",""
"2006","Serbia","Terajoule","Electrical energy","Energy Available for Final Consumption","92,531",""
"2006","Turkey","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","12,158.2",""
"2006","Turkey","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","141,400",""
"2006","Turkey","Terajoule","Electrical energy","Energy Available for Final Consumption","509,040",""
"2006","Bosnia and Herzegovina","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","643.3",""
"2006","Bosnia and Herzegovina","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","7,482",""
"2006","Bosnia and Herzegovina","Terajoule","Electrical energy","Energy Available for Final Consumption","26,935",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","289.2",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","3,363",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","Electrical energy","Energy Available for Final Consumption","12,107",""
"2006","Moldova","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","600.6",""
"2006","Moldova","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,985",""
"2006","Moldova","Terajoule","Electrical energy","Energy Available for Final Consumption","25,146",""
"2006","Ukraine","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","11,147.5",""
"2006","Ukraine","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","129,645",""
"2006","Ukraine","Terajoule","Electrical energy","Energy Available for Final Consumption","466,722",""
"2007","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","245,258.3",""
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","2,852,354",""
"2007","European Union (28 countries)","Terajoule","Electrical energy","Energy Available for Final Consumption","10,268,476",""
"2007","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","176,826.6",""
"2007","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","2,056,493",""
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Energy Available for Final Consumption","7,403,376",""
"2007","Belgium","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","7,129.4",""
"2007","Belgium","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","82,915",""
"2007","Belgium","Terajoule","Electrical energy","Energy Available for Final Consumption","298,494",""
"2007","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,365.8",""
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","27,514",""
"2007","Bulgaria","Terajoule","Electrical energy","Energy Available for Final Consumption","99,051",""
"2007","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,921.2",""
"2007","Czech Republic","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","57,234",""
"2007","Czech Republic","Terajoule","Electrical energy","Energy Available for Final Consumption","206,043",""
"2007","Denmark","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,878.7",""
"2007","Denmark","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","33,479",""
"2007","Denmark","Terajoule","Electrical energy","Energy Available for Final Consumption","120,526",""
"2007","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","45,516.4",""
"2007","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","529,356",""
"2007","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Energy Available for Final Consumption","1,905,682",""
"2007","Estonia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","584.3",""
"2007","Estonia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,795",""
"2007","Estonia","Terajoule","Electrical energy","Energy Available for Final Consumption","24,462",""
"2007","Ireland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,180.8",""
"2007","Ireland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","25,363",""
"2007","Ireland","Terajoule","Electrical energy","Energy Available for Final Consumption","91,307",""
"2007","Greece","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,745.3",""
"2007","Greece","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","55,188",""
"2007","Greece","Terajoule","Electrical energy","Energy Available for Final Consumption","198,678",""
"2007","Spain","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","21,563.6",""
