TIME,GEO,INTRT,Value
2000,Portugal,EMU convergence criterion bond yields,5.595
2010,Portugal,EMU convergence criterion bond yields,5.395833333
2001,Portugal,EMU convergence criterion bond yields,5.158333333
2002,Portugal,EMU convergence criterion bond yields,5.006666667
2008,Portugal,EMU convergence criterion bond yields,4.519166667
2007,Portugal,EMU convergence criterion bond yields,4.425
2009,Portugal,EMU convergence criterion bond yields,4.211666667
2003,Portugal,EMU convergence criterion bond yields,4.178333333
2004,Portugal,EMU convergence criterion bond yields,4.143333333
2006,Portugal,EMU convergence criterion bond yields,3.915
2014,Portugal,EMU convergence criterion bond yields,3.754166667
2005,Portugal,EMU convergence criterion bond yields,3.4375
2015,Portugal,EMU convergence criterion bond yields,2.423333333
2009,Romania,EMU convergence criterion bond yields,9.694166667
2008,Romania,EMU convergence criterion bond yields,7.6975
2010,Romania,EMU convergence criterion bond yields,7.336666667
2011,Romania,EMU convergence criterion bond yields,7.2925
2006,Romania,EMU convergence criterion bond yields,7.23
2007,Romania,EMU convergence criterion bond yields,7.134166667
2005,Romania,EMU convergence criterion bond yields,6.992222222
2012,Romania,EMU convergence criterion bond yields,6.679166667
2013,Romania,EMU convergence criterion bond yields,5.414166667
2014,Romania,EMU convergence criterion bond yields,4.494166667
2015,Romania,EMU convergence criterion bond yields,3.473333333
2000,Romania,EMU convergence criterion bond yields,
2001,Romania,EMU convergence criterion bond yields,
2002,Romania,EMU convergence criterion bond yields,
2003,Romania,EMU convergence criterion bond yields,
2004,Romania,EMU convergence criterion bond yields,
2001,Slovakia,EMU convergence criterion bond yields,8.0425
2002,Slovakia,EMU convergence criterion bond yields,6.935
2004,Slovakia,EMU convergence criterion bond yields,5.025833333
2003,Slovakia,EMU convergence criterion bond yields,4.985833333
2008,Slovakia,EMU convergence criterion bond yields,4.723333333
2009,Slovakia,EMU convergence criterion bond yields,4.705833333
2012,Slovakia,EMU convergence criterion bond yields,4.5525
2007,Slovakia,EMU convergence criterion bond yields,4.490833333
2011,Slovakia,EMU convergence criterion bond yields,4.4475
2006,Slovakia,EMU convergence criterion bond yields,4.411666667
2010,Slovakia,EMU convergence criterion bond yields,3.871666667
2005,Slovakia,EMU convergence criterion bond yields,3.521666667
2013,Slovakia,EMU convergence criterion bond yields,3.1875
2014,Slovakia,EMU convergence criterion bond yields,2.071666667
2015,Slovakia,EMU convergence criterion bond yields,0.885
2000,Slovakia,EMU convergence criterion bond yields,
2002,Slovenia,EMU convergence criterion bond yields,8.713
2003,Slovenia,EMU convergence criterion bond yields,6.401666667
2013,Slovenia,EMU convergence criterion bond yields,5.811666667
2012,Slovenia,EMU convergence criterion bond yields,5.808333333
2011,Slovenia,EMU convergence criterion bond yields,4.970833333
2004,Slovenia,EMU convergence criterion bond yields,4.683333333
2008,Slovenia,EMU convergence criterion bond yields,4.606666667
2007,Slovenia,EMU convergence criterion bond yields,4.530833333
2009,Slovenia,EMU convergence criterion bond yields,4.375
2006,Slovenia,EMU convergence criterion bond yields,3.853333333
2010,Slovenia,EMU convergence criterion bond yields,3.8325
2005,Slovenia,EMU convergence criterion bond yields,3.806666667
2014,Slovenia,EMU convergence criterion bond yields,3.27
2015,Slovenia,EMU convergence criterion bond yields,1.705
2000,Slovenia,EMU convergence criterion bond yields,
2001,Slovenia,EMU convergence criterion bond yields,
2012,Spain,EMU convergence criterion bond yields,5.845833333
2000,Spain,EMU convergence criterion bond yields,5.525833333
2011,Spain,EMU convergence criterion bond yields,5.440833333
2001,Spain,EMU convergence criterion bond yields,5.116666667
2002,Spain,EMU convergence criterion bond yields,4.959166667
2013,Spain,EMU convergence criterion bond yields,4.561666667
2008,Spain,EMU convergence criterion bond yields,4.366666667
2007,Spain,EMU convergence criterion bond yields,4.3075
2010,Spain,EMU convergence criterion bond yields,4.250833333
2003,Spain,EMU convergence criterion bond yields,4.124166667
